ds,y,hour,hour_sin,hour_cos,weekday,is_weekend,month,weather,lag_1,lag_24,rolling_mean_3h,rolling_mean_12h
2025-01-01 03:00:00,53,3,0.7071067811865476,0.7071067811865476,2,0,1,unknown,54.0,54.0,51.333333333333336,48.25
2025-01-01 03:00:00,49,3,0.7071067811865476,0.7071067811865476,2,0,1,unknown,53.0,45.0,50.666666666666664,48.666666666666664
2025-01-01 03:00:00,41,3,0.7071067811865476,0.7071067811865476,2,0,1,unknown,49.0,60.0,52.0,48.5
2025-01-01 03:00:00,39,3,0.7071067811865476,0.7071067811865476,2,0,1,unknown,41.0,45.0,47.666666666666664,48.416666666666664
2025-01-01 04:00:00,42,4,0.8660254037844386,0.5000000000000001,2,0,1,unknown,39.0,43.0,43.0,47.583333333333336
2025-01-01 04:00:00,42,4,0.8660254037844386,0.5000000000000001,2,0,1,unknown,42.0,50.0,40.666666666666664,47.0
2025-01-01 04:00:00,48,4,0.8660254037844386,0.5000000000000001,2,0,1,unknown,42.0,47.0,41.0,46.5
2025-01-01 04:00:00,52,4,0.8660254037844386,0.5000000000000001,2,0,1,unknown,48.0,47.0,44.0,47.75
2025-01-01 04:00:00,62,4,0.8660254037844386,0.5000000000000001,2,0,1,unknown,52.0,47.0,47.333333333333336,48.083333333333336
2025-01-01 04:00:00,56,4,0.8660254037844386,0.5000000000000001,2,0,1,unknown,62.0,51.0,54.0,48.5
2025-01-01 04:00:00,54,4,0.8660254037844386,0.5000000000000001,2,0,1,unknown,56.0,42.0,56.666666666666664,48.583333333333336
2025-01-01 05:00:00,45,5,0.9659258262890683,0.25881904510252074,2,0,1,unknown,54.0,50.0,57.333333333333336,49.333333333333336
2025-01-01 05:00:00,49,5,0.9659258262890683,0.25881904510252074,2,0,1,unknown,45.0,48.0,51.666666666666664,48.583333333333336
2025-01-01 05:00:00,69,5,0.9659258262890683,0.25881904510252074,2,0,1,unknown,49.0,51.0,49.333333333333336,48.25
2025-01-01 05:00:00,52,5,0.9659258262890683,0.25881904510252074,2,0,1,unknown,69.0,42.0,54.333333333333336,49.916666666666664
2025-01-01 05:00:00,68,5,0.9659258262890683,0.25881904510252074,2,0,1,unknown,52.0,49.0,56.666666666666664,50.833333333333336
2025-01-01 05:00:00,49,5,0.9659258262890683,0.25881904510252074,2,0,1,unknown,68.0,49.0,63.0,53.25
2025-01-01 05:00:00,51,5,0.9659258262890683,0.25881904510252074,2,0,1,unknown,49.0,48.0,56.333333333333336,53.833333333333336
2025-01-01 06:00:00,62,6,1.0,6.123233995736766e-17,2,0,1,unknown,51.0,33.0,56.0,54.583333333333336
2025-01-01 06:00:00,53,6,1.0,6.123233995736766e-17,2,0,1,unknown,62.0,48.0,54.0,55.75
2025-01-01 06:00:00,72,6,1.0,6.123233995736766e-17,2,0,1,unknown,53.0,57.0,55.333333333333336,55.833333333333336
2025-01-01 06:00:00,78,6,1.0,6.123233995736766e-17,2,0,1,unknown,72.0,55.0,62.333333333333336,56.666666666666664
2025-01-01 06:00:00,65,6,1.0,6.123233995736766e-17,2,0,1,unknown,78.0,45.0,67.66666666666667,58.5
2025-01-01 06:00:00,65,6,1.0,6.123233995736766e-17,2,0,1,unknown,65.0,54.0,71.66666666666667,59.416666666666664
2025-01-01 06:00:00,66,6,1.0,6.123233995736766e-17,2,0,1,unknown,65.0,53.0,69.33333333333333,61.083333333333336
2025-01-01 07:00:00,93,7,0.9659258262890683,-0.25881904510252063,2,0,1,unknown,66.0,49.0,65.33333333333333,62.5
2025-01-01 07:00:00,95,7,0.9659258262890683,-0.25881904510252063,2,0,1,unknown,93.0,41.0,74.66666666666667,64.5
2025-01-01 07:00:00,90,7,0.9659258262890683,-0.25881904510252063,2,0,1,unknown,95.0,39.0,84.66666666666667,68.08333333333333
2025-01-01 07:00:00,93,7,0.9659258262890683,-0.25881904510252063,2,0,1,unknown,90.0,42.0,92.66666666666667,69.91666666666667
2025-01-01 07:00:00,77,7,0.9659258262890683,-0.25881904510252063,2,0,1,unknown,93.0,42.0,92.66666666666667,73.58333333333333
2025-01-01 07:00:00,89,7,0.9659258262890683,-0.25881904510252063,2,0,1,unknown,77.0,48.0,86.66666666666667,75.75
2025-01-01 07:00:00,102,7,0.9659258262890683,-0.25881904510252063,2,0,1,unknown,89.0,52.0,86.33333333333333,78.0
2025-01-01 08:00:00,97,8,0.8660254037844387,-0.4999999999999998,2,0,1,unknown,102.0,62.0,89.33333333333333,82.08333333333333
2025-01-01 08:00:00,108,8,0.8660254037844387,-0.4999999999999998,2,0,1,unknown,97.0,56.0,96.0,84.16666666666667
2025-01-01 08:00:00,79,8,0.8660254037844387,-0.4999999999999998,2,0,1,unknown,108.0,54.0,102.33333333333333,86.66666666666667
2025-01-01 08:00:00,78,8,0.8660254037844387,-0.4999999999999998,2,0,1,unknown,79.0,45.0,94.66666666666667,87.83333333333333
2025-01-01 08:00:00,101,8,0.8660254037844387,-0.4999999999999998,2,0,1,unknown,78.0,49.0,88.33333333333333,88.91666666666667
2025-01-01 08:00:00,99,8,0.8660254037844387,-0.4999999999999998,2,0,1,unknown,101.0,69.0,86.0,91.83333333333333
2025-01-01 08:00:00,119,8,0.8660254037844387,-0.4999999999999998,2,0,1,unknown,99.0,52.0,92.66666666666667,92.33333333333333
2025-01-01 09:00:00,79,9,0.7071067811865476,-0.7071067811865475,2,0,1,unknown,119.0,68.0,106.33333333333333,94.33333333333333
2025-01-01 09:00:00,107,9,0.7071067811865476,-0.7071067811865475,2,0,1,unknown,79.0,49.0,99.0,93.41666666666667
2025-01-01 09:00:00,100,9,0.7071067811865476,-0.7071067811865475,2,0,1,unknown,107.0,51.0,101.66666666666667,94.58333333333333
2025-01-01 09:00:00,91,9,0.7071067811865476,-0.7071067811865475,2,0,1,unknown,100.0,62.0,95.33333333333333,96.5
2025-01-01 09:00:00,94,9,0.7071067811865476,-0.7071067811865475,2,0,1,unknown,91.0,53.0,99.33333333333333,96.66666666666667
2025-01-01 09:00:00,87,9,0.7071067811865476,-0.7071067811865475,2,0,1,unknown,94.0,72.0,95.0,96.0
2025-01-01 09:00:00,91,9,0.7071067811865476,-0.7071067811865475,2,0,1,unknown,87.0,78.0,90.66666666666667,95.16666666666667
2025-01-01 10:00:00,68,10,0.49999999999999994,-0.8660254037844387,2,0,1,unknown,91.0,65.0,90.66666666666667,93.75
2025-01-01 10:00:00,64,10,0.49999999999999994,-0.8660254037844387,2,0,1,unknown,68.0,65.0,82.0,92.83333333333333
